刘佳(00:08:08): 各位领导和同事能听到我说话吗？我看那个人都齐了，我们就开始吧！

陈俊(00:08:21): OK 可以。

刘佳(00:08:22): 好，各位和领各位领导和同事晚上好，然后我们今天主要是针对就是我们上次节前针对那个合规化的业务流程的问题，然后我们上次会议会后我们又做了梳理完之后，现在就说又整理了一个这个业务的流程图，然后今天主要是想和大家讨论和确定一下我们现在整理出来的合规化的流程，以及在这个流程过程中涉及到几个合规的问题，对，然后我先简单介绍一下我们这次设计的这个流程，我们流程的话大概分为是六步，第一步是需要医生注册的，这个也是跟。跟袁博他们也讨论了，说医生只是需通过手机号去注册到青藤平台上去，然后第二步的话，就是其实患者是在线下就诊的过程当中，如果说有影像检查的需求，那么开单医生就会通过自己的那个就会让客户扫一个自己的一个专属的二维码，然后扫完了之后，患者用自己的手机，然后来去下单，那么在下单过程当中需要填写一些病情病史以及检查建议这个话，医生可以协助患者去填写完成之后，会生成一个互联网的一个互联网医院的一个线上问诊的二维码。

刘佳(00:09:46): 然后第三步的话，就是说患者在这个生成的扫描这个生成的二维码，然后进入新能互联网医院，然后我们互联网医院会有全职的临床医生在线上给他做一个线上的问诊，然后确认一下检查项目以及注意事项等等。然后到第四步的时候，患者就可以去按照预约的时间去线下去就诊，那么就诊的过程当中，前台也会核对相应的一些身份证的信息。

刘佳(00:10:15): 然后第五步的话，就是患者做完检查，我们平台来给他生成检查报告，然后互联网青藤互联网医院会把这个报告的解读，订单分配给这个线下开单的医生，然后医生再给他做一个线上的一个报告解读的一个咨询，在这个过程当中，患者可以就是会有这个服务记录，然后也会对医生的支持患者对医生的这个服务进行评价，然后第六步就是到了这个平台，按照报告解读的一些订单的情况，定期的话。

刘佳(00:10:51): 能跟医生进行一个费用的结合，在六步的流程里面，我们也发现了自己需要各位同事。跟各位带来问题，我们首先职业的需要。

陈俊(00:11:24): 喂刘佳是你那边信号不好，还是我们这边信号不好，我听你是断断续续的。

袁戎(00:11:32): 我这边听着也是断断续续的。可能是刘佳那边的问题。

陈俊(00:11:35): 也是那刘佳。

刘佳(00:11:46): 自己的手来给现在让最后选码，这里面主要的一个。在当中会有指定分享！没人听到吗？用不用改调一下。

